method,Output,nCell,ARI.RNA,ARI level 1.RNA,AMI.RNA,AMI level 1.RNA,graph cLISI.RNA,graph cLISI level 1.RNA,isolated labels ASW.RNA,isolated labels ASW level 1.RNA,ARI.ATAC,ARI level 1.ATAC,AMI.ATAC,AMI level 1.ATAC,graph cLISI.ATAC,graph cLISI level 1.ATAC,isolated labels ASW.ATAC,isolated labels ASW level 1.ATAC,FOSCTTM,Cell match,Cell type match,Cell type level 1 match,RNA,ATAC
SCALEX,Embedding,6924,0.456,0.525,0.582,0.593,0.943,0.917,0.596,0.529,0.318,0.426,0.457,0.508,0.909,0.872,0.532,0.524,0.194,0.002,0.457,0.641,25,25
Seurat v3 CCA,Embedding,6924,0.413,0.468,0.556,0.562,0.927,0.888,0.515,0.499,0.338,0.337,0.616,0.602,0.972,0.977,0.432,0.497,0.157,0.002,0.561,0.714,25,25
Seurat v4 RPCA,Embedding,6924,0.404,0.485,0.543,0.564,0.922,0.884,0.516,0.499,0.3,0.291,0.559,0.555,0.96,0.965,0.38,0.503,0.173,0.002,0.527,0.667,25,25
SIMBA,Embedding,6924,0.497,0.533,0.623,0.613,0.95,0.939,0.53,0.506,0.382,0.476,0.513,0.541,0.933,0.897,0.511,0.511,0.179,0.001,0.425,0.59,25,25
unionCom,Embedding,6924,0.283,0.297,0.485,0.475,0.937,0.902,0.387,0.493,0.105,0.122,0.193,0.195,0.827,0.722,0.447,0.487,0.394,0,0.158,0.235,25,25
uniPort,Embedding,6924,0.002,0.003,0.015,0.009,0.692,0.446,0.473,0.507,0.015,0.018,0.036,0.029,0.723,0.506,0.48,0.486,0.475,0,0.097,0.145,25,25
bindSC,Embedding,6924,0.356,0.417,0.525,0.544,0.939,0.926,0.445,0.393,0.309,0.326,0.58,0.588,0.964,0.977,0.561,0.584,0.132,0.002,0.473,0.664,50,100
GLUE,Embedding,6924,0.64,0.589,0.751,0.708,0.975,0.977,0.526,0.5,0.599,0.586,0.721,0.706,0.977,0.985,0.446,0.492,0.044,0.011,0.715,0.839,50,100
LIGER iNMF,Embedding,6924,0.476,0.483,0.655,0.64,0.966,0.969,0.53,0.515,0.502,0.595,0.604,0.641,0.946,0.931,0.448,0.491,0.234,0.001,0.339,0.577,50,100
LIGER online iNMF,Embedding,6924,0.473,0.546,0.598,0.616,0.945,0.933,0.482,0.478,0.41,0.539,0.526,0.579,0.92,0.888,0.447,0.474,0.234,0.001,0.416,0.642,50,100
